audit_id,video_path,p0,p1,p2,p3,p4,p5,rater1_presentation_appropriate,rater1_semantic_contamination,rater1_reason_code,rater1_hash,rater1_timestamp,rater2_presentation_appropriate,rater2_semantic_contamination,rater2_reason_code,rater2_hash,rater2_timestamp,adjudicated_presentation_appropriate,adjudicated_semantic_contamination,adjudication_reason_code,adjudicator_hash,adjudication_timestamp
0825e8a9278d47b3323d,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1aV4y1b7tA.mp4,0.224009677,0.158981201,0.136879178,0.184503601,0.159917215,0.135709129,,,,,,,,,,,,,,,
15118ff633cc83d8d149,/data/jehc223/RGCL/data/video/MHC_zh/All/BV15F411z7tS.mp4,0.250058464,0.180579932,0.131504496,0.180197591,0.12378526,0.133874257,,,,,,,,,,,,,,,
200a49e88396366a0dcc,/data/jehc223/RGCL/data/video/MHC_zh/All/BV17K4y1r7Dt.mp4,0.199068666,0.194569921,0.134458921,0.174297065,0.167883568,0.129721859,,,,,,,,,,,,,,,
246db022530043f82068,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1ZW4y1L7rT.mp4,0.20249012,0.179515773,0.172897685,0.15793059,0.173021425,0.114144407,,,,,,,,,,,,,,,
619718a19f4b32aebddb,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1X34y1u77R.mp4,0.181375859,0.159641921,0.179369652,0.170203063,0.160955976,0.148453529,,,,,,,,,,,,,,,
7eb1e1a572180805d359,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1sP41167zR.mp4,0.210439856,0.191640838,0.169130228,0.194001825,0.1195942,0.115193054,,,,,,,,,,,,,,,
954ac4345fb38693363b,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1iW411V7pN.mp4,0.207514533,0.165613803,0.180236373,0.18584109,0.158604776,0.102189424,,,,,,,,,,,,,,,
98e12cb13e6968fcca05,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1rG4y167RB.mp4,0.185588355,0.150357504,0.15382189,0.184307565,0.184678179,0.141246507,,,,,,,,,,,,,,,
b9e0540ba9695b31eecf,/data/jehc223/RGCL/data/video/MHC_zh/All/BV117421N7HM.mp4,0.1861976,0.185687448,0.131772009,0.184516801,0.15742014,0.154406003,,,,,,,,,,,,,,,
fb244f595f448e10748a,/data/jehc223/RGCL/data/video/MHC_zh/All/BV18i4y1b7k3.mp4,0.213129221,0.16955446,0.15981247,0.163600305,0.141615592,0.152287953,,,,,,,,,,,,,,,
0075989cbeaac4fbabb6,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1zP4y1U7Hm.mp4,0.160016471,0.183609878,0.165752144,0.181684164,0.172874122,0.136063221,,,,,,,,,,,,,,,
00bd506f9972aec660ba,/data/jehc223/RGCL/data/video/MHC_zh/All/BV12v411g72s.mp4,0.161102591,0.195179287,0.143170566,0.18497942,0.168362084,0.147206052,,,,,,,,,,,,,,,
017302632ddeb9b22e83,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1184y1Y7he.mp4,0.142019911,0.180890674,0.167451257,0.158880516,0.177051953,0.173705689,,,,,,,,,,,,,,,
01f0f53aedd0a33ebcd2,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1tC4y187C9.mp4,0.20017784,0.228045289,0.145904148,0.180784672,0.150153286,0.0949347647,,,,,,,,,,,,,,,
02f4f3a0657126f1b46b,/data/jehc223/RGCL/data/video/MHC_zh/All/BV16M4y1c7eo.mp4,0.149984886,0.195458743,0.170206585,0.152731179,0.163630276,0.167988331,,,,,,,,,,,,,,,
0383a7fe277a32b8e6ab,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1Gv411E772.mp4,0.185336198,0.203857673,0.154478693,0.176444376,0.133519604,0.146363457,,,,,,,,,,,,,,,
0431ce0dfc753be9d996,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1XR4y1E75t.mp4,0.138284683,0.206607941,0.145731643,0.17134688,0.194937261,0.143091592,,,,,,,,,,,,,,,
06c04b84e2dc0e990eb1,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1AK4y1B7Lv.mp4,0.133351013,0.211679646,0.141599739,0.189857784,0.201020388,0.122491431,,,,,,,,,,,,,,,
0896f29a8eec5f24a18d,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1Ha411H75C.mp4,0.149007289,0.213365596,0.164550855,0.196826628,0.159447742,0.11680189,,,,,,,,,,,,,,,
0a676417c4e6db825a01,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1t5411h71N.mp4,0.14822251,0.234116472,0.143367261,0.188004779,0.186303614,0.0999853647,,,,,,,,,,,,,,,
0cb63fa05697da86a71a,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1YQ4y1b7rr.mp4,0.178862169,0.201337135,0.1659956,0.178574127,0.137819563,0.137411406,,,,,,,,,,,,,,,
0dbaae2965a6ea5f3364,/data/jehc223/RGCL/data/video/MHC_zh/All/BV1cu4y1g76S.mp4,0.143774945,0.211537136,0.129213642,0.193187772,0.202135872,0.120150633,,,,,,,,,,,,,,,
